Date,Price,Open,High,Low,Vol.,Change %,Company,Year,Month,Day,Spread
2024-12-27,223.75,225.6,226.03,220.9,27370000.0,-1.45,0,2024,12,27,5.1299999999999955
2024-12-27,192.76,194.95,195.32,190.65,18890000.0,-1.45,1,2024,12,27,4.6699999999999875
2024-12-27,599.81,599.41,601.85,589.8,8080000.0,-0.59,2,2024,12,27,12.050000000000068
2024-12-27,430.53,434.6,435.22,426.35,18120000.0,-1.73,3,2024,12,27,8.870000000000005
2024-12-30,221.3,220.06,223.0,218.43,28320000.0,-1.09,0,2024,12,30,4.569999999999993
2024-12-30,191.24,189.8,192.55,189.12,14260000.0,-0.79,1,2024,12,30,3.430000000000007
2024-12-30,591.24,588.75,596.94,585.58,7030000.0,-1.43,2,2024,12,30,11.360000000000014
2024-12-30,424.83,426.06,427.55,421.9,13160000.0,-1.32,3,2024,12,30,5.650000000000034
2024-12-31,219.39,222.96,223.23,218.94,24820000.0,-0.86,0,2024,12,31,4.289999999999992
2024-12-31,189.3,191.07,191.96,188.51,17470000.0,-1.01,1,2024,12,31,3.450000000000017
2024-12-31,585.51,592.27,593.97,583.85,6020000.0,-0.97,2,2024,12,31,10.120000000000005
2024-12-31,421.5,426.1,426.73,420.66,13250000.0,-0.78,3,2024,12,31,6.069999999999993
2025-01-02,220.22,222.03,225.15,218.19,33960000.0,0.38,0,2025,1,2,6.960000000000008
2025-01-02,189.43,190.65,192.0,187.5,20370000.0,0.07,1,2025,1,2,4.5
2025-01-02,599.24,589.72,604.91,587.82,12680000.0,2.34,2,2025,1,2,17.089999999999918
2025-01-02,418.58,425.53,426.07,414.85,16900000.0,-0.69,3,2025,1,2,11.21999999999997
2025-01-03,224.19,222.51,225.36,221.62,27520000.0,1.8,0,2025,1,3,3.740000000000009
2025-01-03,191.79,191.37,193.21,189.98,18600000.0,1.25,1,2025,1,3,3.230000000000018
2025-01-03,604.63,604.76,609.5,596.41,11440000.0,0.9,2,2025,1,3,13.090000000000032
2025-01-03,423.35,421.08,424.03,419.54,16660000.0,1.14,3,2025,1,3,4.489999999999952
2025-01-06,227.61,226.78,228.84,224.84,31850000.0,1.53,0,2025,1,6,4.0
2025-01-06,196.87,193.98,198.22,193.85,29560000.0,2.65,1,2025,1,6,4.3700000000000045
2025-01-06,630.2,611.83,630.99,605.62,14560000.0,4.23,2,2025,1,6,25.370000000000005
2025-01-06,427.85,428.0,434.32,425.48,20570000.0,1.06,3,2025,1,6,8.839999999999975
